year,price,data_year,scenario,fuel,region,dollar_year
2025,3.399012,2025,no_111d,naturalgas,p10,2024
2024,3.170836,2025,no_111d,naturalgas,p10,2024
2050,5.837853,2025,no_111d,naturalgas,p11,2024
2049,5.7349,2025,no_111d,naturalgas,p11,2024
2048,5.609483,2025,no_111d,naturalgas,p11,2024
2047,5.551978,2025,no_111d,naturalgas,p11,2024
2046,5.619327,2025,no_111d,naturalgas,p11,2024
2045,5.531449,2025,no_111d,naturalgas,p11,2024
2044,5.44116,2025,no_111d,naturalgas,p11,2024
2043,5.357093,2025,no_111d,naturalgas,p11,2024
2042,5.212529,2025,no_111d,naturalgas,p11,2024
2041,5.149276,2025,no_111d,naturalgas,p11,2024
2040,5.06742,2025,no_111d,naturalgas,p11,2024
2039,5.015665,2025,no_111d,naturalgas,p11,2024
2038,5.089327,2025,no_111d,naturalgas,p11,2024
2037,5.313449,2025,no_111d,naturalgas,p11,2024
2036,5.329287,2025,no_111d,naturalgas,p11,2024
2035,5.3175,2025,no_111d,naturalgas,p11,2024
2034,5.182823,2025,no_111d,naturalgas,p11,2024
2033,4.917033,2025,no_111d,naturalgas,p11,2024
2032,4.594566,2025,no_111d,naturalgas,p11,2024
2031,4.281225,2025,no_111d,naturalgas,p11,2024
2030,4.013898,2025,no_111d,naturalgas,p11,2024
2029,3.612164,2025,no_111d,naturalgas,p11,2024
2028,3.339882,2025,no_111d,naturalgas,p11,2024
2027,3.157325,2025,no_111d,naturalgas,p11,2024
2026,3.251022,2025,no_111d,naturalgas,p11,2024
2025,3.399012,2025,no_111d,naturalgas,p11,2024
2024,3.170836,2025,no_111d,naturalgas,p11,2024
2050,2.134197,2025,no_111d,coal,p8,2024
2049,2.588539,2025,no_111d,coal,p8,2024
2048,2.352767,2025,no_111d,coal,p8,2024
2047,2.121763,2025,no_111d,coal,p8,2024
2046,1.787084,2025,no_111d,coal,p8,2024
2045,1.768788,2025,no_111d,coal,p8,2024
2044,1.749502,2025,no_111d,coal,p8,2024
2043,1.744693,2025,no_111d,coal,p8,2024
2042,1.73363,2025,no_111d,coal,p8,2024
2041,1.727334,2025,no_111d,coal,p8,2024
2040,1.701403,2025,no_111d,coal,p8,2024
2039,1.674825,2025,no_111d,coal,p8,2024
2038,1.68144,2025,no_111d,coal,p8,2024
2037,1.788786,2025,no_111d,coal,p8,2024
2036,1.789876,2025,no_111d,coal,p8,2024
2035,1.768544,2025,no_111d,coal,p8,2024
2034,1.765209,2025,no_111d,coal,p8,2024
2033,1.6815959999999999,2025,no_111d,coal,p8,2024
2032,1.663997,2025,no_111d,coal,p8,2024
2031,1.736354,2025,no_111d,coal,p8,2024
2030,1.6860819999999999,2025,no_111d,coal,p8,2024
2029,1.861568,2025,no_111d,coal,p8,2024
2028,1.677208,2025,no_111d,coal,p8,2024
2027,1.727306,2025,no_111d,coal,p8,2024
2026,1.791515,2025,no_111d,coal,p8,2024
2025,2.078532,2025,no_111d,coal,p8,2024
2024,2.115688,2025,no_111d,coal,p8,2024
2050,2.134197,2025,no_111d,coal,p9,2024
2049,2.588539,2025,no_111d,coal,p9,2024
2048,2.352767,2025,no_111d,coal,p9,2024
2047,2.121763,2025,no_111d,coal,p9,2024
2046,1.787084,2025,no_111d,coal,p9,2024
2045,1.768788,2025,no_111d,coal,p9,2024
2044,1.749502,2025,no_111d,coal,p9,2024
2043,1.744693,2025,no_111d,coal,p9,2024
2042,1.73363,2025,no_111d,coal,p9,2024
2041,1.727334,2025,no_111d,coal,p9,2024
2040,1.701403,2025,no_111d,coal,p9,2024
2039,1.674825,2025,no_111d,coal,p9,2024
2038,1.68144,2025,no_111d,coal,p9,2024
2037,1.788786,2025,no_111d,coal,p9,2024
2036,1.789876,2025,no_111d,coal,p9,2024
2035,1.768544,2025,no_111d,coal,p9,2024
2034,1.765209,2025,no_111d,coal,p9,2024
2033,1.6815959999999999,2025,no_111d,coal,p9,2024
2032,1.663997,2025,no_111d,coal,p9,2024
2031,1.736354,2025,no_111d,coal,p9,2024
2030,1.6860819999999999,2025,no_111d,coal,p9,2024
2029,1.861568,2025,no_111d,coal,p9,2024
2028,1.677208,2025,no_111d,coal,p9,2024
2027,1.727306,2025,no_111d,coal,p9,2024
2026,1.791515,2025,no_111d,coal,p9,2024
2025,2.078532,2025,no_111d,coal,p9,2024
2024,2.115688,2025,no_111d,coal,p9,2024
2050,2.134197,2025,no_111d,coal,p10,2024
2049,2.588539,2025,no_111d,coal,p10,2024
2048,2.352767,2025,no_111d,coal,p10,2024
2047,2.121763,2025,no_111d,coal,p10,2024
2046,1.787084,2025,no_111d,coal,p10,2024
2045,1.768788,2025,no_111d,coal,p10,2024
2044,1.749502,2025,no_111d,coal,p10,2024
2043,1.744693,2025,no_111d,coal,p10,2024
2042,1.73363,2025,no_111d,coal,p10,2024
2041,1.727334,2025,no_111d,coal,p10,2024
2040,1.701403,2025,no_111d,coal,p10,2024
2039,1.674825,2025,no_111d,coal,p10,2024
2038,1.68144,2025,no_111d,coal,p10,2024
2037,1.788786,2025,no_111d,coal,p10,2024
2036,1.789876,2025,no_111d,coal,p10,2024
2035,1.768544,2025,no_111d,coal,p10,2024
2034,1.765209,2025,no_111d,coal,p10,2024
2033,1.6815959999999999,2025,no_111d,coal,p10,2024
2032,1.663997,2025,no_111d,coal,p10,2024
2031,1.736354,2025,no_111d,coal,p10,2024
2030,1.6860819999999999,2025,no_111d,coal,p10,2024
2029,1.861568,2025,no_111d,coal,p10,2024
2028,1.677208,2025,no_111d,coal,p10,2024
2027,1.727306,2025,no_111d,coal,p10,2024
2026,1.791515,2025,no_111d,coal,p10,2024
2025,2.078532,2025,no_111d,coal,p10,2024
2024,2.115688,2025,no_111d,coal,p10,2024
2050,2.134197,2025,no_111d,coal,p11,2024
2049,2.588539,2025,no_111d,coal,p11,2024
2048,2.352767,2025,no_111d,coal,p11,2024
2047,2.121763,2025,no_111d,coal,p11,2024
2046,1.787084,2025,no_111d,coal,p11,2024
2045,1.768788,2025,no_111d,coal,p11,2024
2044,1.749502,2025,no_111d,coal,p11,2024
2043,1.744693,2025,no_111d,coal,p11,2024
2042,1.73363,2025,no_111d,coal,p11,2024
2041,1.727334,2025,no_111d,coal,p11,2024
2040,1.701403,2025,no_111d,coal,p11,2024
2039,1.674825,2025,no_111d,coal,p11,2024
2038,1.68144,2025,no_111d,coal,p11,2024
2037,1.788786,2025,no_111d,coal,p11,2024
2036,1.789876,2025,no_111d,coal,p11,2024
2035,1.768544,2025,no_111d,coal,p11,2024
2034,1.765209,2025,no_111d,coal,p11,2024
2033,1.6815959999999999,2025,no_111d,coal,p11,2024
2032,1.663997,2025,no_111d,coal,p11,2024
2031,1.736354,2025,no_111d,coal,p11,2024
2030,1.6860819999999999,2025,no_111d,coal,p11,2024
