data_year,basis_year,cap_recovery_years,cost_case,financial_case,technology,tech_detail,parameter,parameter_value,units,dollar_year
2024,2027,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,19791.4168580213,,2022
2024,2027,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1398644.72374504,,2022
2024,2027,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30456.0009423051,,2022
2024,2027,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1327865.26487929,,2022
2024,2027,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32800.0,,2022
2024,2027,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.09,,2022
2024,2027,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1188348.0349675,,2022
2024,2027,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25400.0,,2022
2024,2027,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2027,30,Moderate,Market,UtilityPV,Class1,capex_mw,1254711.92353064,,2022
2024,2027,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,19791.4168580213,,2022
2024,2027,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1327865.26487929,,2022
2024,2027,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32800.0,,2022
2024,2027,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.09,,2022
2024,2027,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1188348.0349675,,2022
2024,2027,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25400.0,,2022
2024,2027,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2028,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,314626.737,,2022
2024,2028,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,271476.7315,,2022
2024,2028,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,7865.668425,,2022
2024,2028,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,6786.918289,,2022
2024,2028,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2028,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1366415.55377062,,2022
2024,2028,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30058.5916773403,,2022
2024,2028,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1315830.23226709,,2022
2024,2028,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32400.0,,2022
2024,2028,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.07,,2022
2024,2028,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1178541.7120983,,2022
2024,2028,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25300.0,,2022
2024,2028,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2028,20,Moderate,Market,UtilityPV,Class1,capex_mw,1196840.21781622,,2022
2024,2028,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,19189.4109140506,,2022
2024,2028,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1366415.55377062,,2022
2024,2028,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30058.5916773403,,2022
2024,2028,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1315830.23226709,,2022
2024,2028,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32400.0,,2022
2024,2028,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.07,,2022
2024,2028,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1178541.7120983,,2022
2024,2028,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25300.0,,2022
2024,2028,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2028,30,Moderate,Market,UtilityPV,Class1,capex_mw,1196840.21781622,,2022
2024,2028,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,19189.4109140506,,2022
2024,2028,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1315830.23226709,,2022
2024,2028,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32400.0,,2022
2024,2028,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.07,,2022
2024,2028,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1178541.7120983,,2022
2024,2028,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25300.0,,2022
2024,2028,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2029,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,315937.7411,,2022
2024,2029,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,258602.0221,,2022
2024,2029,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,7898.443526,,2022
2024,2029,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,6465.050552,,2022
2024,2029,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2029,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1334186.38379619,,2022
2024,2029,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,29661.1824123754,,2022
2024,2029,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1303906.63514204,,2022
2024,2029,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32100.0,,2022
2024,2029,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.06,,2022
2024,2029,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1168846.82471625,,2022
2024,2029,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25100.0,,2022
2024,2029,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2029,20,Moderate,Market,UtilityPV,Class1,capex_mw,1138968.51210179,,2022
2024,2029,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,18589.1888680874,,2022
2024,2029,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1334186.38379619,,2022
2024,2029,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,29661.1824123754,,2022
2024,2029,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1303906.63514204,,2022
2024,2029,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32100.0,,2022
2024,2029,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.06,,2022
2024,2029,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1168846.82471625,,2022
2024,2029,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25100.0,,2022
2024,2029,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2029,30,Moderate,Market,UtilityPV,Class1,capex_mw,1138968.51210179,,2022
2024,2029,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,18589.1888680874,,2022
2024,2029,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1303906.63514204,,2022
2024,2029,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,32100.0,,2022
