region,year,weather_year,time_index,load_mw
p11,2030,2012,126,2265.0
p11,2030,2012,127,2221.0
p11,2030,2012,128,2286.0
p11,2030,2012,129,2422.0
p11,2030,2012,130,2651.0
p11,2030,2012,131,2760.0
p11,2030,2012,132,2818.0
p11,2030,2012,133,2856.0
p11,2030,2012,134,2904.0
p11,2030,2012,135,2882.0
p11,2030,2012,136,2803.0
p11,2030,2012,137,2752.0
p11,2030,2012,138,2708.0
p11,2030,2012,139,2675.0
p11,2030,2012,140,2701.0
p11,2030,2012,141,2915.0
p11,2030,2012,142,2955.0
p11,2030,2012,143,2900.0
p11,2030,2012,144,2841.0
p11,2030,2012,145,2743.0
p11,2030,2012,146,2597.0
p11,2030,2012,147,2462.0
p11,2030,2012,148,2299.0
p11,2030,2012,149,2238.0
p11,2030,2012,150,2197.0
p11,2030,2012,151,2157.0
p11,2030,2012,152,2166.0
p11,2030,2012,153,2221.0
p11,2030,2012,154,2303.0
p11,2030,2012,155,2398.0
p11,2030,2012,156,2486.0
p11,2030,2012,157,2574.0
p11,2030,2012,158,2573.0
p11,2030,2012,159,2539.0
p11,2030,2012,160,2489.0
p11,2030,2012,161,2437.0
p11,2030,2012,162,2365.0
p11,2030,2012,163,2341.0
p11,2030,2012,164,2398.0
p11,2030,2012,165,2647.0
p11,2030,2012,166,2689.0
p11,2030,2012,167,2658.0
p11,2030,2012,168,2606.0
p11,2030,2012,169,2538.0
p11,2030,2012,170,2416.0
p11,2030,2012,171,2317.0
p11,2030,2012,172,2251.0
p11,2030,2012,173,2198.0
p11,2030,2012,174,2154.0
p11,2030,2012,175,2118.0
p11,2030,2012,176,2127.0
p11,2030,2012,177,2173.0
p11,2030,2012,178,2262.0
p11,2030,2012,179,2307.0
p11,2030,2012,180,2411.0
p11,2030,2012,181,2469.0
p11,2030,2012,182,2487.0
p11,2030,2012,183,2451.0
p11,2030,2012,184,2395.0
p11,2030,2012,185,2350.0
p11,2030,2012,186,2291.0
p11,2030,2012,187,2287.0
p11,2030,2012,188,2355.0
p11,2030,2012,189,2626.0
p11,2030,2012,190,2694.0
p11,2030,2012,191,2672.0
p11,2030,2012,192,2607.0
p11,2030,2012,193,2524.0
p11,2030,2012,194,2382.0
p11,2030,2012,195,2280.0
p11,2030,2012,196,2305.0
p11,2030,2012,197,2297.0
p11,2030,2012,198,2267.0
p11,2030,2012,199,2235.0
p11,2030,2012,200,2306.0
p11,2030,2012,201,2475.0
p11,2030,2012,202,2750.0
p11,2030,2012,203,2874.0
p11,2030,2012,204,2924.0
p11,2030,2012,205,2938.0
p11,2030,2012,206,2959.0
p11,2030,2012,207,2912.0
p11,2030,2012,208,2825.0
p11,2030,2012,209,2774.0
p11,2030,2012,210,2732.0
p11,2030,2012,211,2690.0
p11,2030,2012,212,2732.0
p11,2030,2012,213,2963.0
p11,2030,2012,214,3018.0
p11,2030,2012,215,2985.0
p11,2030,2012,216,2903.0
p11,2030,2012,217,2775.0
p11,2030,2012,218,2607.0
p11,2030,2012,219,2452.0
p11,2030,2012,220,2356.0
p11,2030,2012,221,2326.0
p11,2030,2012,222,2300.0
p11,2030,2012,223,2270.0
p11,2030,2012,224,2342.0
p11,2030,2012,225,2514.0
p11,2030,2012,226,2775.0
p11,2030,2012,227,2926.0
p11,2030,2012,228,2930.0
p11,2030,2012,229,2923.0
p11,2030,2012,230,2931.0
p11,2030,2012,231,2893.0
p11,2030,2012,232,2795.0
p11,2030,2012,233,2726.0
p11,2030,2012,234,2677.0
p11,2030,2012,235,2656.0
p11,2030,2012,236,2683.0
p11,2030,2012,237,2915.0
p11,2030,2012,238,2983.0
p11,2030,2012,239,2950.0
p11,2030,2012,240,2873.0
p11,2045,2012,1,4048.0
p11,2045,2012,2,3946.0
p11,2045,2012,3,3796.0
p11,2045,2012,4,3720.0
p11,2045,2012,5,3707.0
p11,2045,2012,6,3583.0
p11,2045,2012,7,3423.0
p11,2045,2012,8,3435.0
p11,2045,2012,9,3473.0
p11,2045,2012,10,3496.0
p11,2045,2012,11,3497.0
p11,2045,2012,12,3701.0
p11,2045,2012,13,3868.0
p11,2045,2012,14,3955.0
p11,2045,2012,15,3879.0
p11,2045,2012,16,3759.0
p11,2045,2012,17,3705.0
p11,2045,2012,18,3616.0
p11,2045,2012,19,3591.0
p11,2045,2012,20,3682.0
p11,2045,2012,21,3999.0
p11,2045,2012,22,4068.0
p11,2045,2012,23,4047.0
p11,2045,2012,24,3966.0
p11,2045,2012,25,3874.0
p11,2045,2012,26,3735.0
p11,2045,2012,27,3629.0
p11,2045,2012,28,3929.0
p11,2045,2012,29,4026.0
p11,2045,2012,30,3923.0
p11,2045,2012,31,3657.0
p11,2045,2012,32,3717.0
p11,2045,2012,33,3832.0
p11,2045,2012,34,3896.0
p11,2045,2012,35,3936.0
p11,2045,2012,36,4075.0
p11,2045,2012,37,4255.0
p11,2045,2012,38,4478.0
p11,2045,2012,39,4513.0
p11,2045,2012,40,4380.0
p11,2045,2012,41,4268.0
p11,2045,2012,42,4218.0
p11,2045,2012,43,4215.0
p11,2045,2012,44,4307.0
p11,2045,2012,45,4586.0
p11,2045,2012,46,4728.0
p11,2045,2012,47,4712.0
p11,2045,2012,48,4591.0
p11,2045,2012,49,4421.0
p11,2045,2012,50,4188.0
p11,2045,2012,51,3962.0
p11,2045,2012,52,3795.0
p11,2045,2012,53,3850.0
p11,2045,2012,54,3758.0
p11,2045,2012,55,3559.0
p11,2045,2012,56,3632.0
p11,2045,2012,57,3814.0
p11,2045,2012,58,3987.0
p11,2045,2012,59,4058.0
p11,2045,2012,60,4136.0
p11,2045,2012,61,4289.0
p11,2045,2012,62,4457.0
p11,2045,2012,63,4481.0
p11,2045,2012,64,4360.0
p11,2045,2012,65,4308.0
p11,2045,2012,66,4238.0
p11,2045,2012,67,4189.0
p11,2045,2012,68,4243.0
p11,2045,2012,69,4495.0
p11,2045,2012,70,4622.0
p11,2045,2012,71,4605.0
p11,2045,2012,72,4489.0
p11,2045,2012,73,4331.0
p11,2045,2012,74,4126.0
p11,2045,2012,75,3915.0
p11,2045,2012,76,3862.0
p11,2045,2012,77,3928.0
p11,2045,2012,78,3836.0
p11,2045,2012,79,3631.0
p11,2045,2012,80,3702.0
p11,2045,2012,81,3859.0
p11,2045,2012,82,4066.0
p11,2045,2012,83,4108.0
p11,2045,2012,84,4162.0
