technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Solar Photovoltaic,63859,RCTR,192.0,,192.0,192.0,2020,2050,0.333,0.0,0.0,7714.0
Solar Photovoltaic,63870,CPSLO,1.2,,1.2,1.2,2024,2054,0.212,0.0,0.0,7714.0
Solar Photovoltaic,63875,KRNVL,3.0,,3.0,3.0,2023,2053,0.212,0.0,0.0,7714.0
Batteries,56472,BA1,10.0,10.0,10.0,10.0,2016,2031,0.0,0.0,0.0,12544.0
Solar Photovoltaic,63932,TITN1,70.0,,70.0,70.0,2020,2050,0.298,0.0,0.0,7714.0
Solar Photovoltaic,63940,CEN40,40.0,,40.0,40.0,2021,2051,0.248,0.0,0.0,7714.0
Onshore Wind Turbine,63941,OA1,14.4,,14.4,14.4,2021,2051,0.402,0.0,0.0,13321.0
Solar Photovoltaic,63947,579,2.3,,2.3,2.3,2021,2051,0.203,0.0,0.0,7714.0
Solar Photovoltaic,63986,10136,0.9,,0.9,0.9,2017,2047,0.0,0.0,0.0,7714.0
Batteries,66023,19043,1.0,1.0,1.0,1.0,2024,2039,0.85,0.0,0.0,12544.0
Solar Photovoltaic,64028,EMDF,2.9,,2.9,2.9,2021,2051,0.164,0.0,0.0,7714.0
Solar Photovoltaic,64049,NCRC,1.8,,1.8,1.8,2021,2051,0.176,0.0,0.0,7714.0
Solar Photovoltaic,64103,DH002,70.0,,70.0,70.0,2020,2050,0.272,0.0,0.0,9730.0
Batteries,64103,DH003,35.0,140.0,35.0,35.0,2021,2051,0.001,0.0,0.0,17250.0
Solar Photovoltaic,64104,MAV02,100.0,,100.0,100.0,2020,2050,0.332,0.0,0.0,7714.0
Solar Photovoltaic,64105,MAV03,100.0,,100.0,100.0,2021,2051,0.326,0.0,0.0,9730.0
Batteries,64105,MAV04,50.0,200.0,50.0,50.0,2022,2052,0.0,0.0,0.0,17250.0
Solar Photovoltaic,64106,MAV05,132.0,,132.0,132.0,2021,2051,0.324,0.0,0.0,7714.0
Other Waste Biomass,64141,4,1.0,,1.0,1.0,2020,2065,0.271,13.894,2.443,63592.0
Batteries,64197,FTHSB,117.0,137.0,137.0,117.0,2023,2053,0.85,0.0,0.0,17250.0
Solar Photovoltaic,64197,FTHSS,150.0,,150.0,150.0,2023,2053,0.212,0.0,0.0,9730.0
Solar Photovoltaic,64209,26SBA,297.6787676,,297.7620189,297.6442297,2026,2056,0.212,0.0,0.0,9730.0
Batteries,64209,26SBB,297.6787676,1190.7150704,297.7620189,297.6442297,2026,2056,0.85,0.0,0.0,12544.0
Solar Photovoltaic,64210,50LWA,500.0,,500.0,500.0,2025,2055,0.212,0.0,0.0,9730.0
Batteries,64210,50LWB,500.0,1450.0,500.0,500.0,2025,2055,0.85,0.0,0.0,12544.0
Solar Photovoltaic,64215,45MGA,119.071507,,119.1048075,119.0576919,2025,2055,0.212,0.0,0.0,9730.0
Batteries,64215,45MGB,119.071507,476.286028,119.1048075,119.0576919,2025,2055,0.85,0.0,0.0,12544.0
Solar Photovoltaic,64264,298,3.0,,3.0,3.0,2020,2050,0.264,0.0,0.0,7714.0
Solar Photovoltaic,64267,265,3.0,,3.0,3.0,2020,2050,0.277,0.0,0.0,7714.0
Solar Photovoltaic,64270,COLT1,2.6,,2.6,2.6,2021,2045,0.187,0.0,0.0,7714.0
Solar Photovoltaic,64290,IPAT2,200.0,,200.0,200.0,2021,2051,0.335,0.0,0.0,7714.0
Solar Photovoltaic,64308,HLDBG,3.0,,3.0,3.0,2020,2050,0.231,0.0,0.0,7714.0
Batteries,67474,BESS1,150.0,435.0,150.0,150.0,2025,2040,0.85,0.0,0.0,12544.0
Batteries,61722,IRV01,1.0,6.5,1.0,1.0,2018,2033,0.0,0.0,0.0,12544.0
Batteries,61722,IRV1W,4.5,27.0,4.5,4.5,2018,2033,0.0,0.0,0.0,12544.0
Batteries,61723,IRV06,2.5,15.0,2.5,2.5,2018,2033,0.0,0.0,0.0,12544.0
Batteries,61723,IRV2W,3.3,19.8,3.3,3.3,2018,2033,0.0,0.0,0.0,12544.0
Onshore Wind Turbine,64323,CHW,61.2,,61.2,61.2,2021,2051,0.321,0.0,0.0,13321.0
Onshore Wind Turbine,64326,DYER,46.2,,47.5,46.2,2021,2051,0.374,0.0,0.0,13321.0
Onshore Wind Turbine,64326,FRICK,10.0,,10.0,10.0,2021,2051,0.374,0.0,0.0,13321.0
Batteries,65635,HEDS1,10.0,29.0,10.0,10.0,2025,2040,0.85,0.0,0.0,12544.0
Solar Photovoltaic,64376,TRANQ,1.3,,1.3,1.3,2018,2048,0.269,0.0,0.0,7714.0
Solar Photovoltaic,64418,BB000,5.5,,5.5,5.5,2020,2050,0.17,0.0,0.0,7714.0
Batteries,62889,HEGJF,10.0,40.0,10.0,10.0,2021,2036,0.0,0.0,0.0,12544.0
Batteries,62889,HJFII,10.0,40.0,10.0,10.0,2021,2036,0.0,0.0,0.0,12544.0
Solar Photovoltaic,64426,WIL,100.0,,130.0,100.0,2021,2051,0.313,0.0,0.0,9730.0
Batteries,64426,WILBA,30.0,60.0,30.0,30.0,2021,2051,0.001,0.0,0.0,17250.0
Solar Photovoltaic,64428,JVR1A,53.58217816,,53.59716339,53.57596135,2026,2056,0.212,0.0,0.0,9730.0
Batteries,64428,JVR1B,41.67502746,166.70010984,41.68668264,41.67019216,2026,2056,0.85,0.0,0.0,12544.0
